Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7817 - Vote By Mail	0	1	0	0	1	0	1	2	1	2	0	2	2	1	9	5	0	0	42	13	0
Precinct 7817 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	11	0	0
Precinct 7817	0	1	0	0	1	0	1	2	1	2	0	2	2	1	11	6	0	0	53	13	0
Precinct 7818 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	11	0	0
Precinct 7818 - Election Day	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	11	0
Precinct 7818	1	1	1	0	1	1	0	1	1	1	0	1	1	1	13	2	0	0	11	11	0
Precinct 7819 - Vote By Mail	6	4	6	2	3	2	4	3	3	4	4	1	3	2	18	10	0	0	63	47	0
Precinct 7819 - Election Day	3	2	3	2	3	2	3	0	2	3	3	3	1	3	0	4	0	0	11	33	0
Precinct 7819	9	6	9	4	6	4	7	3	5	7	7	4	4	5	18	14	0	0	74	80	0
Precinct 7821 - Vote By Mail	5	6	4	4	5	5	5	3	5	8	5	4	8	6	24	15	0	0	92	73	0
Precinct 7821 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	11	0	0
Precinct 7821	5	6	4	4	5	5	5	3	5	8	5	4	8	6	27	16	0	0	103	73	0
Precinct 7822 - Vote By Mail	7	7	6	4	5	3	6	3	4	7	5	4	6	4	19	9	0	0	28	71	0
Precinct 7822 - Election Day	2	1	2	1	0	2	1	0	0	2	1	2	1	2	5	7	0	0	60	17	0
Precinct 7822	9	8	8	5	5	5	7	3	4	9	6	6	7	6	24	16	0	0	88	88	0
Precinct 7823 - Vote By Mail	3	3	2	1	3	1	3	0	3	1	3	1	0	2	20	8	0	0	62	26	0
Precinct 7823 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7823	3	3	2	1	3	1	3	0	3	1	3	1	0	2	20	8	0	0	62	26	0
Precinct 7824 - Vote By Mail	7	5	6	3	4	4	5	4	3	5	4	6	5	6	17	11	0	0	54	67	0
Precinct 7824 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	10	1	0
Precinct 7824	8	5	6	3	4	4	5	4	3	5	4	6	5	6	19	12	0	0	64	68	0
Precinct 7825 - Vote By Mail	0	1	1	2	5	2	1	3	2	5	1	2	1	0	12	5	0	0	29	26	0
Precinct 7825 - Election Day	2	0	0	0	1	0	0	1	1	2	0	0	0	1	7	5	0	0	47	8	0
Precinct 7825	2	1	1	2	6	2	1	4	3	7	1	2	1	1	19	10	0	0	76	34	0
Precinct 7826 - Vote By Mail	4	3	4	3	1	5	3	1	1	4	3	3	3	3	13	8	0	0	47	41	0
Precinct 7826 - Election Day	1	0	1	0	0	0	1	0	0	1	1	0	0	1	12	3	0	0	27	6	0
Precinct 7826	5	3	5	3	1	5	4	1	1	5	4	3	3	4	25	11	0	0	74	47	0
Precinct 7827 - Vote By Mail	1	0	1	1	2	1	1	1	1	1	1	0	1	1	9	3	0	0	20	13	0
Precinct 7827 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	22	0	0
Precinct 7827	1	0	1	1	2	1	1	1	1	1	1	0	1	1	12	5	0	0	42	13	0
Precinct 7828 - Vote By Mail	7	4	4	4	4	4	5	0	1	5	4	3	5	3	39	19	0	0	156	53	0
Precinct 7828 - Election Day	9	5	6	3	4	4	4	4	0	8	4	6	5	5	16	12	0	0	65	67	0
Precinct 7828	16	9	10	7	8	8	9	4	1	13	8	9	10	8	55	31	0	0	221	120	0
Precinct 7829 - Vote By Mail	5	2	3	1	2	3	3	1	1	4	2	3	4	3	29	15	0	0	128	37	0
Precinct 7829 - Election Day	1	0	0	0	0	1	0	0	0	0	0	0	0	0	9	2	0	0	20	2	0
Precinct 7829	6	2	3	1	2	4	3	1	1	4	2	3	4	3	38	17	0	0	148	39	0
Precinct 7831 - Vote By Mail	2	1	4	3	3	3	2	2	2	5	2	3	4	2	14	9	0	0	61	38	0
Precinct 7831 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	9	2	0
Precinct 7831	3	1	4	3	3	3	2	2	2	5	2	3	5	2	14	10	0	0	70	40	0
Precinct 7832 - Vote By Mail	4	3	2	3	5	2	2	5	3	6	2	4	3	4	19	12	0	0	84	48	0
Precinct 7832 - Election Day	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	2	0	0	15	7	0
Precinct 7832	5	4	2	3	6	2	2	6	4	7	2	5	3	4	20	14	0	0	99	55	0
Precinct 7833 - Vote By Mail	0	1	0	0	0	0	0	0	0	0	0	0	1	0	8	3	0	0	31	2	0
Precinct 7833 - Election Day	0	1	0	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	7	4	0
Precinct 7833	0	2	0	0	1	0	0	0	0	1	0	1	1	0	10	4	0	0	38	6	0
Precinct 7834 - Vote By Mail	2	2	1	1	0	2	1	0	1	1	1	1	1	1	9	4	0	0	29	15	0
Precinct 7834 - Election Day	1	1	2	1	0	1	1	1	1	2	0	2	2	2	4	5	0	0	38	17	0
Precinct 7834	3	3	3	2	0	3	2	1	2	3	1	3	3	3	13	9	0	0	67	32	0
Precinct 7835 - Vote By Mail	8	3	4	4	7	6	6	5	3	8	6	3	5	3	40	17	0	0	116	71	0
Precinct 7835 - Election Day	3	1	3	1	4	1	3	3	3	4	2	3	3	3	6	4	0	0	7	37	0
Precinct 7835	11	4	7	5	11	7	9	8	6	12	8	6	8	6	46	21	0	0	123	108	0
Precinct 7836 - Vote By Mail	11	7	7	4	4	8	8	0	1	10	6	6	8	6	46	30	0	0	244	86	0
Precinct 7836 - Election Day	0	1	1	1	1	0	0	1	1	1	1	1	2	1	6	4	0	0	32	12	0
Precinct 7836	11	8	8	5	5	8	8	1	2	11	7	7	10	7	52	34	0	0	276	98	0
Precinct 7837 - Vote By Mail	5	4	5	3	4	2	5	1	2	8	6	4	6	4	26	10	0	0	51	59	0
Precinct 7837 - Election Day	3	2	4	1	1	3	4	1	1	2	4	1	2	3	10	7	0	0	45	32	0
Precinct 7837	8	6	9	4	5	5	9	2	3	10	10	5	8	7	36	17	0	0	96	91	0
Precinct 7838 - Vote By Mail	7	3	4	2	3	6	4	2	2	6	4	3	7	4	27	15	0	0	108	57	0
Precinct 7838 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	1	0	0	11	0	0
Precinct 7838	7	3	4	2	3	6	4	2	2	6	4	3	7	4	23	16	0	0	119	57	0
Precinct 7839 - Vote By Mail	8	6	6	6	8	8	6	6	4	12	6	10	11	6	36	21	0	0	128	103	0
Precinct 7839 - Election Day	2	2	1	3	2	3	2	2	3	3	2	2	3	2	8	6	0	0	34	32	0
Precinct 7839	10	8	7	9	10	11	8	8	7	15	8	12	14	8	44	27	0	0	162	135	0
Precinct 7841 - Vote By Mail	4	1	3	2	2	1	3	2	3	3	4	1	3	4	21	11	0	0	85	36	0
Precinct 7841 - Election Day	0	2	0	0	2	0	0	1	1	1	1	0	2	0	7	3	0	0	23	10	0
Precinct 7841	4	3	3	2	4	1	3	3	4	4	5	1	5	4	28	14	0	0	108	46	0
Precinct 7842 - Vote By Mail	1	2	2	1	2	1	2	1	1	3	1	1	2	2	22	12	0	0	110	22	0
Precinct 7842 - Election Day	1	1	1	3	1	1	1	0	1	2	1	2	2	0	13	5	0	0	38	17	0
Precinct 7842	2	3	3	4	3	2	3	1	2	5	2	3	4	2	35	17	0	0	148	39	0
Precinct 7843 - Vote By Mail	5	4	2	4	2	1	1	1	3	4	2	3	2	2	19	10	0	0	74	36	0
Precinct 7843 - Election Day	2	1	1	1	1	1	1	1	1	4	1	0	0	0	5	4	0	0	29	15	0
Precinct 7843	7	5	3	5	3	2	2	2	4	8	3	3	2	2	24	14	0	0	103	51	0
Precinct 7844 - Vote By Mail	4	3	4	1	1	3	3	0	2	2	3	3	3	5	17	9	0	0	62	37	0
Precinct 7844 - Election Day	0	0	0	0	1	0	0	2	1	2	0	0	1	0	6	4	0	0	37	7	0
Precinct 7844	4	3	4	1	2	3	3	2	3	4	3	3	4	5	23	13	0	0	99	44	0
Precinct 7845 - Vote By Mail	6	2	4	4	5	2	4	0	4	6	5	2	3	5	22	12	0	0	80	52	0
Precinct 7845 - Election Day	3	1	3	1	2	1	2	1	1	1	2	1	3	2	9	4	0	0	20	24	0
Precinct 7845	9	3	7	5	7	3	6	1	5	7	7	3	6	7	31	16	0	0	100	76	0
Precinct 7846 - Vote By Mail	5	3	0	2	3	1	2	0	5	3	2	4	4	0	38	24	0	0	230	34	0
Precinct 7846 - Election Day	3	2	3	2	3	3	2	1	1	2	2	3	3	2	18	10	0	0	77	33	1
Precinct 7846	8	5	3	4	6	4	4	1	6	5	4	7	7	2	56	34	0	0	307	67	1
Precinct 7847 - Vote By Mail	3	4	3	4	1	3	3	2	2	4	3	4	3	2	21	11	0	0	80	41	0
Precinct 7847 - Election Day	2	0	0	0	0	1	0	1	0	1	0	0	3	0	13	8	0	0	80	8	0
Precinct 7847	5	4	3	4	1	4	3	3	2	5	3	4	6	2	34	19	0	0	160	49	0
Precinct 7848 - Vote By Mail	6	3	3	2	6	2	1	4	1	5	3	3	5	2	30	19	0	0	163	46	0
Precinct 7848 - Election Day	2	1	1	1	1	1	0	2	1	1	1	2	2	1	13	5	0	0	38	17	0
Precinct 7848	8	4	4	3	7	3	1	6	2	6	4	5	7	3	43	24	0	0	201	63	0
Precinct 7849 - Vote By Mail	3	2	2	2	5	3	2	5	3	6	0	4	5	2	23	12	0	0	88	44	0
Precinct 7849 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Precinct 7849	3	2	2	2	5	3	2	5	3	6	0	4	5	2	29	12	0	0	88	44	0
Precinct 7851 - Vote By Mail	6	5	4	3	8	3	4	5	4	5	4	3	3	5	38	25	0	0	213	62	0
Precinct 7851 - Election Day	5	4	4	5	3	5	3	2	2	4	4	4	5	2	13	13	0	0	91	52	0
Precinct 7851	11	9	8	8	11	8	7	7	6	9	8	7	8	7	51	38	0	0	304	114	0
Precinct 7852 - Vote By Mail	4	3	3	4	6	3	5	5	3	8	5	4	4	4	31	19	0	0	148	61	0
Precinct 7852 - Election Day	4	1	3	3	4	3	3	3	1	2	4	1	1	3	11	7	0	0	41	36	0
Precinct 7852	8	4	6	7	10	6	8	8	4	10	9	5	5	7	42	26	0	0	189	97	0
Precinct 7853 - Vote By Mail	5	4	2	1	3	2	2	0	2	4	2	1	2	2	25	12	0	0	100	32	0
Precinct 7853 - Election Day	3	3	2	1	2	2	2	1	1	5	2	2	2	1	11	9	0	0	70	29	0
Precinct 7853	8	7	4	2	5	4	4	1	3	9	4	3	4	3	36	21	0	0	170	61	0
Precinct 7854 - Vote By Mail	1	3	1	2	2	2	1	1	1	3	1	2	2	1	26	11	0	0	98	23	0
Precinct 7854 - Election Day	1	2	1	2	3	0	1	1	2	2	1	2	2	1	4	5	0	0	34	21	0
Precinct 7854	2	5	2	4	5	2	2	2	3	5	2	4	4	2	30	16	0	0	132	44	0
Precinct 7855 - Vote By Mail	5	3	4	4	4	4	4	3	3	6	3	5	5	3	28	15	0	0	109	56	0
Precinct 7855 - Election Day	1	1	1	0	1	0	0	1	0	1	1	0	1	1	3	3	0	0	24	9	0
Precinct 7855	6	4	5	4	5	4	4	4	3	7	4	5	6	4	31	18	0	0	133	65	0
Precinct 7856 - Vote By Mail	3	2	0	2	2	2	0	2	2	0	0	1	2	0	9	6	0	0	48	18	0
Precinct 7856 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	21	1	0
Precinct 7856	4	2	0	2	2	2	0	2	2	0	0	1	2	0	14	8	0	0	69	19	0
Precinct 7857 - Vote By Mail	8	4	7	6	7	5	6	4	3	10	6	4	5	8	26	13	0	0	60	83	0
Precinct 7857 - Election Day	0	0	0	0	1	0	0	0	1	1	0	0	1	0	5	2	0	0	18	4	0
Precinct 7857	8	4	7	6	8	5	6	4	4	11	6	4	6	8	31	15	0	0	78	87	0
Precinct 7858 - Vote By Mail	1	3	1	2	2	2	1	3	2	3	1	2	2	2	10	5	0	0	28	27	0
Precinct 7858 - Election Day	3	2	1	2	0	1	2	1	0	3	2	1	2	2	6	4	0	0	22	22	0
Precinct 7858	4	5	2	4	2	3	3	4	2	6	3	3	4	4	16	9	0	0	50	49	0
Precinct 7859 - Vote By Mail	5	4	5	4	2	5	4	1	2	3	3	3	5	3	25	12	0	0	83	49	0
Precinct 7859 - Election Day	2	1	0	0	0	1	1	0	0	0	0	1	1	1	13	7	0	0	69	8	0
Precinct 7859	7	5	5	4	2	6	5	1	2	3	3	4	6	4	38	19	0	0	152	57	0
Precinct 7861 - Vote By Mail	3	0	3	2	7	2	3	5	2	8	3	5	5	3	26	16	0	0	125	51	0
Precinct 7861 - Election Day	2	2	0	2	1	2	1	2	2	2	1	2	1	2	10	3	0	0	10	23	1
Precinct 7861	5	2	3	4	8	4	4	7	4	10	4	7	6	5	36	19	0	0	135	74	1
Precinct 7862 - Vote By Mail	6	2	3	4	1	4	4	3	3	5	3	4	7	6	26	14	0	0	99	55	0
Precinct 7862 - Election Day	2	2	2	0	4	2	2	2	2	4	1	3	3	2	7	4	0	0	13	31	0
Precinct 7862	8	4	5	4	5	6	6	5	5	9	4	7	10	8	33	18	0	0	112	86	0
Precinct 7863 - Vote By Mail	3	3	2	2	0	4	3	1	1	3	3	2	3	3	14	5	0	0	22	33	0
Precinct 7863 - Election Day	2	1	0	2	2	1	0	1	1	1	1	1	1	1	11	5	0	0	40	15	0
Precinct 7863	5	4	2	4	2	5	3	2	2	4	4	3	4	4	25	10	0	0	62	48	0
Precinct 7864 - Vote By Mail	5	4	5	6	5	6	5	2	1	7	5	3	6	5	30	17	0	0	122	65	0
Precinct 7864 - Election Day	2	0	0	0	0	1	0	0	1	0	0	0	1	1	6	3	0	0	27	6	0
Precinct 7864	7	4	5	6	5	7	5	2	2	7	5	3	7	6	36	20	0	0	149	71	0
Precinct 7865 - Vote By Mail	4	4	4	2	5	4	4	3	2	3	3	4	3	4	25	12	0	0	83	49	0
Precinct 7865 - Election Day	3	3	1	2	3	2	2	1	1	4	2	2	3	1	13	9	0	0	69	30	0
Precinct 7865	7	7	5	4	8	6	6	4	3	7	5	6	6	5	38	21	0	0	152	79	0
Precinct 7866 - Vote By Mail	15	12	9	7	21	12	12	10	10	22	10	13	17	11	61	45	0	0	314	181	0
Precinct 7866 - Election Day	4	6	4	5	4	3	5	1	1	6	5	4	6	2	16	10	0	0	54	56	0
Precinct 7866	19	18	13	12	25	15	17	11	11	28	15	17	23	13	77	55	0	0	368	237	0
Precinct 7867 - Vote By Mail	7	4	6	5	5	5	4	5	3	8	6	6	7	5	35	22	0	0	166	76	0
Precinct 7867 - Election Day	0	0	0	0	0	0	0	0	1	1	0	0	1	0	4	5	0	0	52	3	0
Precinct 7867	7	4	6	5	5	5	4	5	4	9	6	6	8	5	39	27	0	0	218	79	0
Precinct 7868 - Vote By Mail	8	7	4	3	6	3	4	4	1	9	6	6	6	5	32	17	0	0	115	72	0
Precinct 7868 - Election Day	2	0	1	1	0	0	0	0	1	1	0	0	1	2	2	5	0	0	46	9	0
Precinct 7868	10	7	5	4	6	3	4	4	2	10	6	6	7	7	34	22	0	0	161	81	0
Precinct 7869 - Vote By Mail	8	8	9	4	9	4	8	9	6	12	7	9	14	3	36	22	0	0	132	110	0
Precinct 7869 - Election Day	1	3	1	3	3	1	1	1	2	3	1	2	0	1	6	6	0	0	43	23	0
Precinct 7869	9	11	10	7	12	5	9	10	8	15	8	11	14	4	42	28	0	0	175	133	0
Precinct 7871 - Vote By Mail	2	2	0	3	6	3	0	7	2	8	1	5	6	0	29	18	0	0	153	45	0
Precinct 7871 - Election Day	2	1	2	1	2	2	2	1	0	3	2	0	4	1	9	8	0	0	65	23	0
Precinct 7871	4	3	2	4	8	5	2	8	2	11	3	5	10	1	38	26	0	0	218	68	0
Precinct 7872 - Vote By Mail	5	5	5	2	7	2	5	3	3	7	6	3	6	5	31	18	0	0	134	64	0
Precinct 7872 - Election Day	3	0	0	1	2	3	1	2	2	4	2	0	3	2	7	6	0	0	41	25	0
Precinct 7872	8	5	5	3	9	5	6	5	5	11	8	3	9	7	38	24	0	0	175	89	0
Precinct 7873 - Vote By Mail	8	5	4	6	4	4	5	4	4	5	5	4	3	4	21	11	0	0	56	65	0
Precinct 7873 - Election Day	1	0	1	1	1	0	1	1	1	1	0	0	1	1	7	4	0	0	34	10	0
Precinct 7873	9	5	5	7	5	4	6	5	5	6	5	4	4	5	28	15	0	0	90	75	0
Precinct 7874 - Vote By Mail	1	0	0	1	0	1	0	0	0	0	0	0	0	1	12	3	0	0	29	4	0
Precinct 7874 - Election Day	4	2	2	2	3	3	2	1	2	1	2	1	2	2	5	6	0	0	37	29	0
Precinct 7874	5	2	2	3	3	4	2	1	2	1	2	1	2	3	17	9	0	0	66	33	0
Precinct 7875 - Vote By Mail	5	6	4	3	2	5	4	2	2	6	4	3	4	4	25	13	0	0	89	54	0
Precinct 7875 - Election Day	2	1	1	4	1	1	2	0	1	2	1	1	2	2	7	8	0	0	67	21	0
Precinct 7875	7	7	5	7	3	6	6	2	3	8	5	4	6	6	32	21	0	0	156	75	0
Precinct 7876 - Vote By Mail	0	0	0	0	1	0	0	1	0	1	0	1	2	0	10	5	0	0	49	6	0
Precinct 7876 - Election Day	0	1	0	0	1	0	0	0	0	1	0	0	1	0	3	3	0	0	29	4	0
Precinct 7876	0	1	0	0	2	0	0	1	0	2	0	1	3	0	13	8	0	0	78	10	0
Precinct 7901 - Vote By Mail	0	4	2	4	2	5	2	1	4	2	2	2	3	2	16	10	0	0	75	35	0
Precinct 7901 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Precinct 7901	0	4	2	4	2	5	2	1	4	2	2	2	3	2	25	10	0	0	75	35	0
Precinct 7902 - Vote By Mail	3	4	1	2	2	1	2	1	4	4	1	3	2	2	18	7	0	0	45	32	0
Precinct 7902 - Election Day	0	1	1	1	1	1	0	1	1	2	0	1	1	1	11	2	0	0	10	12	0
Precinct 7902	3	5	2	3	3	2	2	2	5	6	1	4	3	3	29	9	0	0	55	44	0
Precinct 7903 - Vote By Mail	5	2	3	1	2	3	3	3	3	2	3	1	3	3	23	10	0	0	73	37	0
Precinct 7903 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	4	0	0	43	1	0
Precinct 7903	5	2	3	2	2	3	3	3	3	2	3	1	3	3	33	14	0	0	116	38	0
Precinct 7904 - Vote By Mail	9	6	6	7	5	4	6	5	4	5	6	5	5	7	35	17	0	0	107	80	0
Precinct 7904 - Election Day	4	2	3	3	3	3	3	1	1	4	3	3	2	3	8	7	0	0	32	45	7
Precinct 7904	13	8	9	10	8	7	9	6	5	9	9	8	7	10	43	24	0	0	139	125	7
Precinct 7905 - Vote By Mail	1	0	2	1	3	0	3	0	0	1	2	1	1	3	18	5	0	0	37	18	0
Precinct 7905 - Election Day	0	0	0	1	1	0	0	1	0	1	0	1	3	1	4	4	0	0	35	9	0
Precinct 7905	1	0	2	2	4	0	3	1	0	2	2	2	4	4	22	9	0	0	72	27	0
Precinct 7906 - Vote By Mail	2	1	2	1	4	2	0	2	1	3	2	2	3	1	12	5	0	0	29	26	0
Precinct 7906 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Precinct 7906	2	1	2	1	4	2	0	2	1	3	2	2	3	1	19	5	0	0	29	26	0
Precinct 7907 - Vote By Mail	2	2	1	2	3	2	1	1	3	3	1	0	3	1	23	6	0	0	41	25	0
Precinct 7907 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Precinct 7907	2	2	1	2	3	2	1	1	3	3	1	0	3	1	24	6	0	0	41	25	0
Precinct 7908 - Vote By Mail	2	2	1	3	1	1	0	2	1	3	0	2	1	0	32	10	0	0	91	19	0
Precinct 7908 - Election Day	2	2	2	1	2	2	2	2	2	4	2	2	0	1	13	7	0	0	51	26	0
Precinct 7908	4	4	3	4	3	3	2	4	3	7	2	4	1	1	45	17	0	0	142	45	0
Precinct 7909 - Vote By Mail	2	1	0	0	3	0	0	1	0	3	0	1	1	0	7	3	0	0	21	12	0
Precinct 7909 - Election Day	0	1	0	0	0	0	0	0	2	0	0	0	0	0	6	2	0	0	19	3	0
Precinct 7909	2	2	0	0	3	0	0	1	2	3	0	1	1	0	13	5	0	0	40	15	0
Precinct 7911 - Vote By Mail	9	5	8	5	4	4	7	4	3	9	6	7	9	8	23	11	0	0	33	88	0
Precinct 7911 - Election Day	3	1	1	2	1	1	2	1	2	2	2	2	1	1	5	7	0	0	55	22	0
Precinct 7911	12	6	9	7	5	5	9	5	5	11	8	9	10	9	28	18	0	0	88	110	0
Precinct 7912 - Vote By Mail	2	1	2	3	1	1	1	3	0	2	2	0	0	1	21	7	0	0	58	19	0
Precinct 7912 - Election Day	0	1	0	0	1	0	1	0	0	1	1	0	0	0	13	1	0	0	6	5	0
Precinct 7912	2	2	2	3	2	1	2	3	0	3	3	0	0	1	34	8	0	0	64	24	0
Precinct 7913 - Vote By Mail	1	2	3	2	2	2	1	1	1	4	2	2	3	3	14	10	0	0	81	29	0
Precinct 7913 - Election Day	0	0	0	0	0	1	0	0	0	1	0	0	0	1	9	2	0	0	19	3	0
Precinct 7913	1	2	3	2	2	3	1	1	1	5	2	2	3	4	23	12	0	0	100	32	0
Precinct 7914 - Vote By Mail	0	0	0	0	1	1	1	1	0	2	1	1	1	0	17	5	0	0	46	9	0
Precinct 7914 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	5	0	0	52	3	0
Precinct 7914	0	1	0	0	1	1	1	1	0	2	1	1	2	1	21	10	0	0	98	12	0
Precinct 7915 - Vote By Mail	1	0	1	0	0	1	2	0	0	0	1	1	2	1	22	3	0	0	23	10	0
Precinct 7915 - Election Day	2	2	1	2	0	1	1	1	1	1	1	1	1	1	5	3	0	0	17	16	0
Precinct 7915	3	2	2	2	0	2	3	1	1	1	2	2	3	2	27	6	0	0	40	26	0
Precinct 7916 - Vote By Mail	3	2	2	2	2	2	3	2	2	2	3	3	3	4	24	6	0	0	31	35	0
Precinct 7916 - Election Day	2	2	0	1	0	2	1	2	1	1	0	0	1	1	9	5	0	0	41	14	0
Precinct 7916	5	4	2	3	2	4	4	4	3	3	3	3	4	5	33	11	0	0	72	49	0
Precinct 7917 - Vote By Mail	3	6	4	8	6	8	3	5	5	8	3	5	7	2	29	12	0	0	59	73	0
Precinct 7917 - Election Day	1	0	2	1	0	0	1	0	0	1	0	0	0	1	8	3	0	0	26	7	0
Precinct 7917	4	6	6	9	6	8	4	5	5	9	3	5	7	3	37	15	0	0	85	80	0
Precinct 7918 - Vote By Mail	1	0	1	3	1	1	1	1	1	1	1	0	0	1	10	6	0	0	53	13	0
Precinct 7918 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	11	0	0
Precinct 7918	1	0	1	3	1	1	1	1	1	1	1	0	0	1	13	7	0	0	64	13	0
Precinct 7919 - Vote By Mail	6	4	5	3	2	4	6	2	2	6	4	5	8	2	27	11	0	0	62	59	0
Precinct 7919 - Election Day	2	2	1	2	1	2	2	2	1	2	1	1	2	2	4	3	0	0	10	23	0
Precinct 7919	8	6	6	5	3	6	8	4	3	8	5	6	10	4	31	14	0	0	72	82	0
Precinct 7921 - Vote By Mail	8	9	10	7	6	8	9	7	3	12	9	9	9	8	24	18	0	0	84	114	0
Precinct 7921 - Election Day	1	0	1	1	0	0	1	1	1	1	1	1	1	1	10	1	0	0	0	11	0
Precinct 7921	9	9	11	8	6	8	10	8	4	13	10	10	10	9	34	19	0	0	84	125	0
Precinct 7922 - Vote By Mail	5	4	4	3	1	4	6	4	1	8	4	5	6	5	18	12	0	0	72	60	0
Precinct 7922 - Election Day	0	2	0	1	1	2	0	1	1	2	1	1	1	2	4	2	0	0	7	15	0
Precinct 7922	5	6	4	4	2	6	6	5	2	10	5	6	7	7	22	14	0	0	79	75	0
Precinct 7923 - Vote By Mail	6	6	4	4	2	6	6	2	2	7	7	6	6	4	20	10	0	0	42	68	0
Precinct 7923 - Election Day	2	2	1	2	2	1	1	2	2	2	1	2	2	2	10	5	0	0	31	24	0
Precinct 7923	8	8	5	6	4	7	7	4	4	9	8	8	8	6	30	15	0	0	73	92	0
Precinct 7924 - Vote By Mail	7	6	5	2	3	3	5	5	3	6	5	4	5	5	16	8	0	0	24	64	0
Precinct 7924 - Election Day	0	0	1	1	1	1	1	1	1	1	1	1	1	0	10	1	0	0	0	11	0
Precinct 7924	7	6	6	3	4	4	6	6	4	7	6	5	6	5	26	9	0	0	24	75	0
Precinct 7925 - Vote By Mail	2	1	2	4	2	2	2	1	2	2	2	2	2	1	17	7	0	0	50	27	0
Precinct 7925 - Election Day	2	3	0	2	2	2	0	2	1	2	0	1	0	0	8	5	0	0	38	17	0
Precinct 7925	4	4	2	6	4	4	2	3	3	4	2	3	2	1	25	12	0	0	88	44	0
Precinct 7926 - Vote By Mail	6	4	3	3	1	3	3	1	1	3	3	3	4	2	18	10	0	0	70	40	0
Precinct 7926 - Election Day	1	1	1	1	1	0	1	1	1	1	1	0	1	1	4	3	0	0	21	12	0
Precinct 7926	7	5	4	4	2	3	4	2	2	4	4	3	5	3	22	13	0	0	91	52	0
Precinct 7927 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	5	0	0	53	2	0
Precinct 7927 - Election Day	1	1	0	1	0	1	0	1	1	0	1	0	1	1	5	2	0	0	13	9	0
Precinct 7927	1	1	0	1	0	1	0	1	1	0	1	0	3	1	18	7	0	0	66	11	0
Precinct 7928 - Vote By Mail	6	6	5	6	3	5	5	2	1	11	5	6	7	6	18	12	0	0	58	74	0
Precinct 7928 - Election Day	2	2	2	2	2	1	2	0	1	4	1	2	2	2	6	5	0	0	30	25	0
Precinct 7928	8	8	7	8	5	6	7	2	2	15	6	8	9	8	24	17	0	0	88	99	0
Precinct 7929 - Vote By Mail	3	2	2	3	2	2	2	0	3	2	2	1	0	2	17	8	0	0	62	26	0
Precinct 7929 - Election Day	1	2	0	0	2	1	0	1	0	1	0	0	1	0	10	6	0	0	57	9	0
Precinct 7929	4	4	2	3	4	3	2	1	3	3	2	1	1	2	27	14	0	0	119	35	0
Precinct 7931 - Vote By Mail	4	3	3	1	5	1	3	3	2	5	2	2	3	3	14	8	0	0	48	40	0
Precinct 7931 - Election Day	2	1	1	1	1	1	1	0	0	2	1	1	1	1	5	4	0	0	30	14	0
Precinct 7931	6	4	4	2	6	2	4	3	2	7	3	3	4	4	19	12	0	0	78	54	0
Precinct 7932 - Vote By Mail	4	3	1	3	5	2	1	2	4	4	1	1	2	0	21	8	0	0	55	33	0
Precinct 7932 - Election Day	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	8	3	0
Precinct 7932	5	3	1	3	6	2	1	2	4	5	1	1	2	0	23	9	0	0	63	36	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	10	1	0
