Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7819 - Vote By Mail	6	4	6	2	3	2	4	3	3	4	4	1	3	2	635	10	0	0	63	47	0
Precinct 7819 - Election Day	2	1	2	1	2	2	2	0	1	2	2	2	1	2	139	2	0	0	0	22	0
Precinct 7819	8	5	8	3	5	4	6	3	4	6	6	3	4	4	774	12	0	0	63	69	0
Precinct 7821 - Vote By Mail	5	6	4	4	5	5	5	3	5	8	5	4	8	6	806	15	0	0	92	73	0
Precinct 7821 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	1	0	0	11	0	0
Precinct 7821	5	6	4	4	5	5	5	3	5	8	5	4	8	6	976	16	0	0	103	73	0
Precinct 7822 - Vote By Mail	7	7	6	4	5	3	6	3	4	7	5	4	6	4	673	9	0	0	28	71	0
Precinct 7822 - Election Day	2	1	2	1	0	2	1	0	0	2	1	2	1	2	219	6	0	0	49	17	0
Precinct 7822	9	8	8	5	5	5	7	3	4	9	6	6	7	6	892	15	0	0	77	88	0
Precinct 7823 - Vote By Mail	3	3	2	1	3	1	3	0	3	1	3	1	0	2	706	8	0	0	62	26	0
Precinct 7823 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0
Precinct 7823	3	3	2	1	3	1	3	0	3	1	3	1	0	2	883	8	0	0	62	26	0
Precinct 7824 - Vote By Mail	7	5	6	3	4	4	5	4	3	5	4	6	5	6	615	11	0	0	54	67	0
Precinct 7824 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	153	1	0	0	10	1	0
Precinct 7824	8	5	6	3	4	4	5	4	3	5	4	6	5	6	768	12	0	0	64	68	0
Precinct 7825 - Vote By Mail	0	1	1	2	5	2	1	3	2	5	1	2	1	0	457	5	0	0	29	26	0
Precinct 7825 - Election Day	2	0	0	0	1	0	0	1	1	2	0	0	0	1	151	4	0	0	36	8	0
Precinct 7825	2	1	1	2	6	2	1	4	3	7	1	2	1	1	608	9	0	0	65	34	0
Precinct 7826 - Vote By Mail	4	3	4	3	1	5	3	1	1	4	3	3	3	3	486	8	0	0	47	41	0
Precinct 7826 - Election Day	1	0	1	0	0	0	1	0	0	1	1	0	0	1	204	3	0	0	27	6	0
Precinct 7826	5	3	5	3	1	5	4	1	1	5	4	3	3	4	690	11	0	0	74	47	0
Precinct 7827 - Vote By Mail	1	0	1	1	2	1	1	1	1	1	1	0	1	1	607	3	0	0	20	13	0
Precinct 7827 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 7827	1	0	1	1	2	1	1	1	1	1	1	0	1	1	826	3	0	0	20	13	0
Precinct 7828 - Vote By Mail	7	4	4	4	4	4	5	0	1	5	4	3	5	3	857	19	0	0	156	53	0
Precinct 7828 - Election Day	8	5	6	3	3	4	4	4	0	7	4	6	5	5	171	11	0	0	57	64	0
Precinct 7828	15	9	10	7	7	8	9	4	1	12	8	9	10	8	1,028	30	0	0	213	117	0
Precinct 7829 - Vote By Mail	5	2	3	1	2	3	3	1	1	4	2	3	4	3	742	14	0	0	117	37	0
Precinct 7829 - Election Day	1	0	0	0	0	1	0	0	0	0	0	0	0	0	149	2	0	0	20	2	0
Precinct 7829	6	2	3	1	2	4	3	1	1	4	2	3	4	3	891	16	0	0	137	39	0
Precinct 7831 - Vote By Mail	2	1	4	3	3	3	2	2	2	5	2	3	4	2	763	9	0	0	61	38	0
Precinct 7831 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0
Precinct 7831	2	1	4	3	3	3	2	2	2	5	2	3	4	2	902	9	0	0	61	38	0
Precinct 7832 - Vote By Mail	4	3	2	3	5	2	2	5	3	6	2	4	3	4	663	12	0	0	84	48	0
Precinct 7832 - Election Day	1	1	0	0	1	0	0	1	1	1	0	1	0	0	118	2	0	0	15	7	0
Precinct 7832	5	4	2	3	6	2	2	6	4	7	2	5	3	4	781	14	0	0	99	55	0
Precinct 7833 - Vote By Mail	0	1	0	0	0	0	0	0	0	0	0	0	1	0	587	3	0	0	31	2	0
Precinct 7833 - Election Day	0	1	0	0	1	0	0	0	0	1	0	1	0	0	146	1	0	0	7	4	0
Precinct 7833	0	2	0	0	1	0	0	0	0	1	0	1	1	0	733	4	0	0	38	6	0
Precinct 7834 - Vote By Mail	2	2	1	1	0	2	1	0	1	1	1	1	1	1	700	4	0	0	29	15	0
Precinct 7834 - Election Day	1	1	2	1	0	1	1	1	1	2	0	2	2	2	194	5	0	0	38	17	0
Precinct 7834	3	3	3	2	0	3	2	1	2	3	1	3	3	3	894	9	0	0	67	32	0
Precinct 7835 - Vote By Mail	8	3	4	4	7	6	6	5	3	8	6	3	5	3	721	17	0	0	116	71	0
Precinct 7835 - Election Day	3	1	3	1	4	1	3	3	3	4	2	3	3	3	142	4	0	0	7	37	0
Precinct 7835	11	4	7	5	11	7	9	8	6	12	8	6	8	6	863	21	0	0	123	108	0
Precinct 7836 - Vote By Mail	11	7	7	4	4	8	8	0	1	10	6	6	8	6	850	29	0	0	233	86	0
Precinct 7836 - Election Day	0	1	1	1	1	0	0	1	1	1	1	1	2	1	193	3	0	0	21	12	0
Precinct 7836	11	8	8	5	5	8	8	1	2	11	7	7	10	7	1,043	32	0	0	254	98	0
Precinct 7837 - Vote By Mail	5	4	5	3	4	2	5	1	2	8	6	4	6	4	718	10	0	0	51	59	0
Precinct 7837 - Election Day	3	2	4	1	1	3	4	1	1	2	4	1	2	3	205	7	0	0	45	32	0
Precinct 7837	8	6	9	4	5	5	9	2	3	10	10	5	8	7	923	17	0	0	96	91	0
Precinct 7838 - Vote By Mail	7	3	4	2	3	6	4	2	2	6	4	3	7	4	752	15	0	0	108	57	0
Precinct 7838 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	1	0	0	11	0	0
Precinct 7838	7	3	4	2	3	6	4	2	2	6	4	3	7	4	895	16	0	0	119	57	0
Precinct 7839 - Vote By Mail	8	6	6	6	8	8	6	6	4	12	6	10	11	6	731	21	0	0	128	103	0
Precinct 7839 - Election Day	2	2	1	3	2	3	2	2	3	3	2	2	3	2	130	6	0	0	34	32	0
Precinct 7839	10	8	7	9	10	11	8	8	7	15	8	12	14	8	861	27	0	0	162	135	0
Precinct 7841 - Vote By Mail	4	1	3	2	2	1	3	2	3	3	4	1	3	4	752	11	0	0	85	36	0
Precinct 7841 - Election Day	0	1	0	0	1	0	0	0	1	0	1	0	1	0	198	2	0	0	17	5	0
Precinct 7841	4	2	3	2	3	1	3	2	4	3	5	1	4	4	950	13	0	0	102	41	0
Precinct 7842 - Vote By Mail	1	2	2	1	2	1	2	1	1	3	1	1	2	2	702	12	0	0	110	22	0
Precinct 7842 - Election Day	1	1	1	3	1	1	1	0	1	2	1	2	2	0	177	5	0	0	38	17	0
Precinct 7842	2	3	3	4	3	2	3	1	2	5	2	3	4	2	879	17	0	0	148	39	0
Precinct 7843 - Vote By Mail	5	4	2	4	2	1	1	1	3	4	2	3	2	2	546	10	0	0	74	36	0
Precinct 7843 - Election Day	2	1	1	1	1	1	1	1	1	3	1	0	0	0	183	3	0	0	19	14	0
Precinct 7843	7	5	3	5	3	2	2	2	4	7	3	3	2	2	729	13	0	0	93	50	0
Precinct 7844 - Vote By Mail	4	3	4	1	1	3	3	0	2	2	3	3	3	5	499	9	0	0	62	37	0
Precinct 7844 - Election Day	0	0	0	0	1	0	0	2	1	2	0	0	1	0	152	4	0	0	37	7	0
Precinct 7844	4	3	4	1	2	3	3	2	3	4	3	3	4	5	651	13	0	0	99	44	0
Precinct 7845 - Vote By Mail	6	2	4	4	5	2	4	0	4	6	5	2	3	5	676	12	0	0	80	52	0
Precinct 7845 - Election Day	3	1	3	1	1	1	2	1	1	0	2	1	2	2	204	3	0	0	12	21	0
Precinct 7845	9	3	7	5	6	3	6	1	5	6	7	3	5	7	880	15	0	0	92	73	0
Precinct 7846 - Vote By Mail	5	3	0	2	3	1	2	0	5	3	2	4	4	0	736	24	0	0	230	34	0
Precinct 7846 - Election Day	3	2	3	2	3	2	2	1	1	2	2	3	3	2	172	8	0	0	56	32	1
Precinct 7846	8	5	3	4	6	3	4	1	6	5	4	7	7	2	908	32	0	0	286	66	1
Precinct 7847 - Vote By Mail	3	4	3	4	1	3	3	2	2	4	3	4	3	2	698	11	0	0	80	41	0
Precinct 7847 - Election Day	2	0	0	0	0	1	0	1	0	0	0	0	2	0	193	6	0	0	60	6	0
Precinct 7847	5	4	3	4	1	4	3	3	2	4	3	4	5	2	891	17	0	0	140	47	0
Precinct 7848 - Vote By Mail	6	3	3	2	6	2	1	4	1	5	3	3	5	2	665	19	0	0	163	46	0
Precinct 7848 - Election Day	1	1	1	1	1	1	0	2	1	1	1	2	2	0	182	4	0	0	29	15	0
Precinct 7848	7	4	4	3	7	3	1	6	2	6	4	5	7	2	847	23	0	0	192	61	0
Precinct 7849 - Vote By Mail	3	2	2	2	5	3	2	5	3	6	0	4	5	2	729	12	0	0	88	44	0
Precinct 7849 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
Precinct 7849	3	2	2	2	5	3	2	5	3	6	0	4	5	2	901	12	0	0	88	44	0
Precinct 7851 - Vote By Mail	6	5	4	3	8	3	4	5	4	5	4	3	3	5	414	25	0	0	213	62	0
Precinct 7851 - Election Day	5	3	4	3	1	3	3	1	0	2	3	3	3	2	112	8	0	0	52	36	0
Precinct 7851	11	8	8	6	9	6	7	6	4	7	7	6	6	7	526	33	0	0	265	98	0
Precinct 7852 - Vote By Mail	4	3	3	4	6	3	5	5	3	8	5	4	4	4	533	19	0	0	148	61	0
Precinct 7852 - Election Day	3	1	2	3	4	2	2	3	1	2	3	1	1	2	111	5	0	0	25	30	0
Precinct 7852	7	4	5	7	10	5	7	8	4	10	8	5	5	6	644	24	0	0	173	91	0
Precinct 7853 - Vote By Mail	5	4	2	1	3	2	2	0	2	4	2	1	2	2	694	12	0	0	100	32	0
Precinct 7853 - Election Day	2	2	2	1	1	2	2	1	0	2	2	2	2	1	161	5	0	0	33	22	0
Precinct 7853	7	6	4	2	4	4	4	1	2	6	4	3	4	3	855	17	0	0	133	54	0
Precinct 7854 - Vote By Mail	1	3	1	2	2	2	1	1	1	3	1	2	2	1	703	11	0	0	98	23	0
Precinct 7854 - Election Day	0	1	0	1	1	0	0	1	1	1	0	1	0	0	175	2	0	0	15	7	0
Precinct 7854	1	4	1	3	3	2	1	2	2	4	1	3	2	1	878	13	0	0	113	30	0
Precinct 7855 - Vote By Mail	5	3	4	4	4	4	4	3	3	6	3	5	5	3	763	15	0	0	109	56	0
Precinct 7855 - Election Day	1	1	1	0	1	0	0	1	0	1	1	0	1	1	211	2	0	0	13	9	0
Precinct 7855	6	4	5	4	5	4	4	4	3	7	4	5	6	4	974	17	0	0	122	65	0
Precinct 7856 - Vote By Mail	3	2	0	2	2	2	0	2	2	0	0	1	2	0	643	6	0	0	48	18	0
Precinct 7856 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	204	2	0	0	21	1	0
Precinct 7856	4	2	0	2	2	2	0	2	2	0	0	1	2	0	847	8	0	0	69	19	0
Precinct 7857 - Vote By Mail	8	4	7	6	7	5	6	4	3	10	6	4	5	8	748	13	0	0	60	83	0
Precinct 7857 - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	158	1	0	0	10	1	0
Precinct 7857	8	4	7	6	7	5	6	4	4	10	6	4	5	8	906	14	0	0	70	84	0
Precinct 7858 - Vote By Mail	1	3	1	2	2	2	1	3	2	3	1	2	2	2	622	5	0	0	28	27	0
Precinct 7858 - Election Day	3	2	1	2	0	1	2	1	0	3	2	1	2	2	157	4	0	0	22	22	0
Precinct 7858	4	5	2	4	2	3	3	4	2	6	3	3	4	4	779	9	0	0	50	49	0
Precinct 7859 - Vote By Mail	5	4	5	4	2	5	4	1	2	3	3	3	5	3	747	12	0	0	83	49	0
Precinct 7859 - Election Day	2	1	0	0	0	1	1	0	0	0	0	1	1	1	152	6	0	0	58	8	0
Precinct 7859	7	5	5	4	2	6	5	1	2	3	3	4	6	4	899	18	0	0	141	57	0
Precinct 7861 - Vote By Mail	3	0	3	2	7	2	3	5	2	8	3	5	5	3	699	16	0	0	125	51	0
Precinct 7861 - Election Day	2	2	0	2	1	2	1	2	2	2	1	2	1	2	164	3	0	0	10	23	1
Precinct 7861	5	2	3	4	8	4	4	7	4	10	4	7	6	5	863	19	0	0	135	74	1
Precinct 7862 - Vote By Mail	6	2	3	4	1	4	4	3	3	5	3	4	7	6	669	14	0	0	99	55	0
Precinct 7862 - Election Day	2	2	2	0	4	2	2	2	2	4	1	3	3	2	195	4	0	0	13	31	0
Precinct 7862	8	4	5	4	5	6	6	5	5	9	4	7	10	8	864	18	0	0	112	86	0
Precinct 7863 - Vote By Mail	3	2	2	2	0	3	2	1	0	2	3	2	2	3	693	4	0	0	17	27	0
Precinct 7863 - Election Day	2	1	0	2	2	1	0	1	1	1	1	1	1	1	208	5	0	0	40	15	0
Precinct 7863	5	3	2	4	2	4	2	2	1	3	4	3	3	4	901	9	0	0	57	42	0
Precinct 7864 - Vote By Mail	5	4	5	6	5	6	5	2	1	7	5	3	6	5	661	17	0	0	122	65	0
Precinct 7864 - Election Day	2	0	0	0	0	1	0	0	1	0	0	0	1	1	153	3	0	0	27	6	0
Precinct 7864	7	4	5	6	5	7	5	2	2	7	5	3	7	6	814	20	0	0	149	71	0
Precinct 7865 - Vote By Mail	4	4	4	2	5	4	4	3	2	3	3	4	3	4	677	12	0	0	83	49	0
Precinct 7865 - Election Day	3	2	1	2	2	2	2	1	1	3	2	2	3	1	163	7	0	0	50	27	0
Precinct 7865	7	6	5	4	7	6	6	4	3	6	5	6	6	5	840	19	0	0	133	76	0
Precinct 7866 - Vote By Mail	15	12	9	7	21	12	12	10	10	22	10	13	17	11	690	45	0	0	314	181	0
Precinct 7866 - Election Day	4	5	3	5	4	3	4	1	1	6	4	4	5	2	158	9	0	0	48	51	0
Precinct 7866	19	17	12	12	25	15	16	11	11	28	14	17	22	13	848	54	0	0	362	232	0
Precinct 7867 - Vote By Mail	7	4	6	5	5	5	4	5	3	8	6	6	7	5	766	22	0	0	166	76	0
Precinct 7867 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	1	0	212	4	0	0	42	2	0
Precinct 7867	7	4	6	5	5	5	4	5	3	9	6	6	8	5	978	26	0	0	208	78	0
Precinct 7868 - Vote By Mail	8	7	4	3	6	3	4	4	1	9	6	6	6	5	659	17	0	0	115	72	0
Precinct 7868 - Election Day	2	0	1	1	0	0	0	0	1	1	0	0	1	2	217	3	0	0	24	9	0
Precinct 7868	10	7	5	4	6	3	4	4	2	10	6	6	7	7	876	20	0	0	139	81	0
Precinct 7869 - Vote By Mail	8	8	9	4	9	4	8	9	6	12	7	9	14	3	683	22	0	0	132	110	0
Precinct 7869 - Election Day	0	2	0	2	2	1	0	0	2	2	0	1	0	0	178	5	0	0	43	12	0
Precinct 7869	8	10	9	6	11	5	8	9	8	14	7	10	14	3	861	27	0	0	175	122	0
Precinct 7871 - Vote By Mail	2	2	0	3	6	3	0	7	2	8	1	5	6	0	702	18	0	0	153	45	0
Precinct 7871 - Election Day	1	1	1	1	2	1	1	1	0	3	1	0	4	0	200	7	0	0	60	17	0
Precinct 7871	3	3	1	4	8	4	1	8	2	11	2	5	10	0	902	25	0	0	213	62	0
Precinct 7872 - Vote By Mail	5	5	5	2	7	2	5	3	3	7	6	3	6	5	675	18	0	0	134	64	0
Precinct 7872 - Election Day	3	0	0	1	2	3	1	1	1	3	2	0	3	2	199	5	0	0	33	22	0
Precinct 7872	8	5	5	3	9	5	6	4	4	10	8	3	9	7	874	23	0	0	167	86	0
Precinct 7873 - Vote By Mail	8	5	4	6	4	4	5	4	4	5	5	4	3	4	689	11	0	0	56	65	0
Precinct 7873 - Election Day	1	0	1	1	1	0	1	1	1	1	0	0	1	1	202	4	0	0	34	10	0
Precinct 7873	9	5	5	7	5	4	6	5	5	6	5	4	4	5	891	15	0	0	90	75	0
Precinct 7874 - Vote By Mail	1	0	0	1	0	1	0	0	0	0	0	0	0	1	370	3	0	0	29	4	0
Precinct 7874 - Election Day	3	2	1	2	2	2	2	1	2	0	2	1	1	2	119	4	0	0	21	23	0
Precinct 7874	4	2	1	3	2	3	2	1	2	0	2	1	1	3	489	7	0	0	50	27	0
Precinct 7875 - Vote By Mail	5	6	4	3	2	5	4	2	2	6	4	3	4	4	500	13	0	0	89	54	0
Precinct 7875 - Election Day	2	1	1	4	1	1	2	0	1	2	1	1	2	2	147	7	0	0	56	21	0
Precinct 7875	7	7	5	7	3	6	6	2	3	8	5	4	6	6	647	20	0	0	145	75	0
Precinct 7876 - Vote By Mail	0	0	0	0	1	0	0	1	0	1	0	1	2	0	462	5	0	0	49	6	0
Precinct 7876 - Election Day	0	1	0	0	1	0	0	0	0	1	0	0	0	0	106	2	0	0	19	3	0
Precinct 7876	0	1	0	0	2	0	0	1	0	2	0	1	2	0	568	7	0	0	68	9	0
Precinct 7901 - Vote By Mail	0	4	2	4	2	5	2	1	4	2	2	2	3	2	399	10	0	0	75	35	0
Precinct 7901 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
Precinct 7901	0	4	2	4	2	5	2	1	4	2	2	2	3	2	549	10	0	0	75	35	0
Precinct 7902 - Vote By Mail	3	4	1	2	2	1	2	1	4	4	1	3	2	2	680	7	0	0	45	32	0
Precinct 7902 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	232	1	0	0	10	1	0
Precinct 7902	3	4	1	2	2	1	2	1	4	5	1	3	2	2	912	8	0	0	55	33	0
Precinct 7903 - Vote By Mail	5	2	3	1	2	3	3	3	3	2	3	1	3	3	623	10	0	0	73	37	0
Precinct 7903 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	2	0	0	22	0	0
Precinct 7903	5	2	3	1	2	3	3	3	3	2	3	1	3	3	852	12	0	0	95	37	0
Precinct 7904 - Vote By Mail	9	6	6	7	5	4	6	5	4	5	6	5	5	7	680	17	0	0	107	80	0
Precinct 7904 - Election Day	3	2	2	2	3	2	2	1	0	4	2	2	2	2	157	5	0	0	19	36	7
Precinct 7904	12	8	8	9	8	6	8	6	4	9	8	7	7	9	837	22	0	0	126	116	7
Precinct 7905 - Vote By Mail	1	0	2	1	3	0	3	0	0	1	2	1	1	3	684	5	0	0	37	18	0
Precinct 7905 - Election Day	0	0	0	0	1	0	0	1	0	1	0	1	3	1	191	3	0	0	25	8	0
Precinct 7905	1	0	2	1	4	0	3	1	0	2	2	2	4	4	875	8	0	0	62	26	0
Precinct 7906 - Vote By Mail	2	1	2	1	4	2	0	2	1	3	2	2	3	1	599	5	0	0	29	26	0
Precinct 7906 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0
Precinct 7906	2	1	2	1	4	2	0	2	1	3	2	2	3	1	786	5	0	0	29	26	0
Precinct 7907 - Vote By Mail	2	2	1	2	3	2	1	1	3	3	1	0	3	1	704	6	0	0	41	25	0
Precinct 7907 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0
Precinct 7907	2	2	1	2	3	2	1	1	3	3	1	0	3	1	942	6	0	0	41	25	0
Precinct 7908 - Vote By Mail	2	2	1	3	1	1	0	2	1	3	0	2	1	0	752	10	0	0	91	19	0
Precinct 7908 - Election Day	1	1	1	1	1	1	1	0	1	2	1	1	0	1	240	3	0	0	20	13	0
Precinct 7908	3	3	2	4	2	2	1	2	2	5	1	3	1	1	992	13	0	0	111	32	0
Precinct 7909 - Vote By Mail	2	1	0	0	3	0	0	1	0	3	0	1	1	0	558	3	0	0	21	12	0
Precinct 7909 - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	185	1	0	0	10	1	0
Precinct 7909	2	1	0	0	3	0	0	1	1	3	0	1	1	0	743	4	0	0	31	13	0
Precinct 7911 - Vote By Mail	9	5	8	5	4	4	7	4	3	9	6	7	9	8	666	11	0	0	33	88	0
Precinct 7911 - Election Day	1	1	0	1	0	1	1	1	1	0	1	0	1	0	205	2	0	0	13	9	0
Precinct 7911	10	6	8	6	4	5	8	5	4	9	7	7	10	8	871	13	0	0	46	97	0
Precinct 7912 - Vote By Mail	2	1	2	3	1	1	1	3	0	2	2	0	0	1	800	7	0	0	58	19	0
Precinct 7912 - Election Day	0	1	0	0	1	0	1	0	0	1	1	0	0	0	259	1	0	0	6	5	0
Precinct 7912	2	2	2	3	2	1	2	3	0	3	3	0	0	1	1,059	8	0	0	64	24	0
Precinct 7913 - Vote By Mail	1	2	3	2	2	2	1	1	1	4	2	2	3	3	660	10	0	0	81	29	0
Precinct 7913 - Election Day	0	0	0	0	0	1	0	0	0	1	0	0	0	1	263	2	0	0	19	3	0
Precinct 7913	1	2	3	2	2	3	1	1	1	5	2	2	3	4	923	12	0	0	100	32	0
Precinct 7914 - Vote By Mail	0	0	0	0	1	1	1	1	0	2	1	1	1	0	715	5	0	0	46	9	0
Precinct 7914 - Election Day	0	1	0	0	0	0	0	0	0	0	0	0	1	1	187	4	0	0	41	3	0
Precinct 7914	0	1	0	0	1	1	1	1	0	2	1	1	2	1	902	9	0	0	87	12	0
Precinct 7915 - Vote By Mail	1	0	1	0	0	1	2	0	0	0	1	1	2	1	605	3	0	0	23	10	0
Precinct 7915 - Election Day	1	2	1	1	0	1	1	0	1	1	1	0	1	1	238	2	0	0	10	12	0
Precinct 7915	2	2	2	1	0	2	3	0	1	1	2	1	3	2	843	5	0	0	33	22	0
Precinct 7916 - Vote By Mail	3	2	2	2	2	2	3	2	2	2	3	3	3	4	639	6	0	0	31	35	0
Precinct 7916 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	1	0	0	11	0	0
Precinct 7916	3	2	2	2	2	2	3	2	2	2	3	3	3	4	858	7	0	0	42	35	0
Precinct 7917 - Vote By Mail	3	6	4	8	6	8	3	5	5	8	3	5	7	2	716	12	0	0	59	73	0
Precinct 7917 - Election Day	1	0	2	1	0	0	1	0	0	1	0	0	0	1	271	3	0	0	26	7	0
Precinct 7917	4	6	6	9	6	8	4	5	5	9	3	5	7	3	987	15	0	0	85	80	0
Precinct 7918 - Vote By Mail	1	0	1	3	1	1	1	1	1	1	1	0	0	1	597	6	0	0	53	13	0
Precinct 7918 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	1	0	0	11	0	0
Precinct 7918	1	0	1	3	1	1	1	1	1	1	1	0	0	1	824	7	0	0	64	13	0
Precinct 7919 - Vote By Mail	6	4	5	3	2	4	6	2	2	6	4	5	8	2	608	11	0	0	62	59	0
Precinct 7919 - Election Day	1	1	0	1	1	1	1	1	0	1	1	0	1	1	258	1	0	0	0	11	0
Precinct 7919	7	5	5	4	3	5	7	3	2	7	5	5	9	3	866	12	0	0	62	70	0
Precinct 7921 - Vote By Mail	8	9	10	7	6	8	9	7	3	12	9	9	9	8	682	18	0	0	84	114	0
Precinct 7921 - Election Day	1	0	1	1	0	0	1	1	1	1	1	1	1	1	229	1	0	0	0	11	0
Precinct 7921	9	9	11	8	6	8	10	8	4	13	10	10	10	9	911	19	0	0	84	125	0
Precinct 7922 - Vote By Mail	5	4	4	3	1	4	6	4	1	8	4	5	6	5	648	12	0	0	72	60	0
Precinct 7922 - Election Day	0	2	0	1	1	2	0	1	1	2	1	1	1	2	210	2	0	0	7	15	0
Precinct 7922	5	6	4	4	2	6	6	5	2	10	5	6	7	7	858	14	0	0	79	75	0
Precinct 7923 - Vote By Mail	6	6	4	4	2	6	6	2	2	7	7	6	6	4	666	10	0	0	42	68	0
Precinct 7923 - Election Day	2	2	1	2	2	1	1	2	2	2	1	2	2	2	214	5	0	0	31	24	0
Precinct 7923	8	8	5	6	4	7	7	4	4	9	8	8	8	6	880	15	0	0	73	92	0
Precinct 7924 - Vote By Mail	7	6	5	2	3	3	5	5	3	6	5	4	5	5	649	8	0	0	24	64	0
Precinct 7924 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0
Precinct 7924	7	6	5	2	3	3	5	5	3	6	5	4	5	5	851	8	0	0	24	64	0
Precinct 7925 - Vote By Mail	2	1	2	4	2	2	2	1	2	2	2	2	2	1	434	7	0	0	50	27	0
Precinct 7925 - Election Day	2	3	0	2	2	2	0	2	1	2	0	1	0	0	110	5	0	0	38	17	0
Precinct 7925	4	4	2	6	4	4	2	3	3	4	2	3	2	1	544	12	0	0	88	44	0
Precinct 7926 - Vote By Mail	6	4	3	3	1	3	3	1	1	3	3	3	4	2	610	10	0	0	70	40	0
Precinct 7926 - Election Day	1	1	1	1	1	0	1	1	1	1	1	0	1	1	178	3	0	0	21	12	0
Precinct 7926	7	5	4	4	2	3	4	2	2	4	4	3	5	3	788	13	0	0	91	52	0
Precinct 7927 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	2	0	580	5	0	0	53	2	0
Precinct 7927 - Election Day	1	1	0	1	0	1	0	1	1	0	1	0	1	1	162	2	0	0	13	9	0
Precinct 7927	1	1	0	1	0	1	0	1	1	0	1	0	3	1	742	7	0	0	66	11	0
Precinct 7928 - Vote By Mail	6	6	5	6	3	5	5	2	1	11	5	6	7	6	700	12	0	0	58	74	0
Precinct 7928 - Election Day	1	1	1	1	1	1	1	0	0	2	1	1	1	1	217	3	0	0	20	13	0
Precinct 7928	7	7	6	7	4	6	6	2	1	13	6	7	8	7	917	15	0	0	78	87	0
Precinct 7929 - Vote By Mail	3	2	2	3	2	2	2	0	3	2	2	1	0	2	678	8	0	0	62	26	0
Precinct 7929 - Election Day	0	2	0	0	2	1	0	1	0	1	0	0	1	0	169	5	0	0	47	8	0
Precinct 7929	3	4	2	3	4	3	2	1	3	3	2	1	1	2	847	13	0	0	109	34	0
Precinct 7931 - Vote By Mail	3	3	3	1	4	1	2	3	2	5	1	2	3	2	610	7	0	0	42	35	0
Precinct 7931 - Election Day	2	1	1	1	1	1	1	0	0	2	1	1	1	1	141	4	0	0	30	14	0
Precinct 7931	5	4	4	2	5	2	3	3	2	7	2	3	4	3	751	11	0	0	72	49	0
Precinct 7932 - Vote By Mail	4	3	1	3	5	2	1	2	4	4	1	1	2	0	443	8	0	0	55	33	0
Precinct 7932 - Election Day	1	0	0	0	1	0	0	0	0	1	0	0	0	0	118	1	0	0	8	3	0
Precinct 7932	5	3	1	3	6	2	1	2	4	5	1	1	2	0	561	9	0	0	63	36	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	1	0	0	10	1	0
Precinct 7933 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	1	0	0	10	1	0
Precinct 7934 - Vote By Mail	2	2	1	3	2	1	1	1	1	3	1	2	1	1	702	7	0	0	55	22	0
Precinct 7934 - Election Day	1	0	0	0	1	0	0	0	0	1	0	0	0	0	182	3	0	0	30	3	0
Precinct 7934	3	2	1	3	3	1	1	1	1	4	1	2	1	1	884	10	0	0	85	25	0
Precinct 7935 - Vote By Mail	4	2	2	2	3	2	2	1	1	4	2	2	1	4	716	7	0	0	45	32	0
