Subtotal Area	KAT ANDERSON	NADIA RAHMAN	MANO RAJU	ABRA PAULINE CASTLE	QUEENA CHEN	CYN WANG	LEAH LACROIX	SUZY LOFTUS	LI MIAO LOVETT	JANICE LI	JANE NATOLI	AHSHA SAFAI	GORDON MAR	SEEYEW MO	FAAUUGA MOLIGA	PAUL MIYAMOTO	MARY JUNG	KEITH BARAKA	KELLY AKEMI GROTH	A. J. THOMAS	MAWULI TUGBENYOH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9511 - Vote By Mail	34	20	61	20	58	28	72	48	58	65	30	28	63	14	54	19	26	69	60	72	16	325	195	0	0	1,035	915	0
Precinct 9511 - Election Day	18	11	48	12	41	11	42	21	39	44	18	19	48	13	37	10	17	39	43	53	14	115	130	0	0	702	598	0
Precinct 9511	52	31	109	32	99	39	114	69	97	109	48	47	111	27	91	29	43	108	103	125	30	440	325	0	0	1,737	1,513	0
Precinct 9512 - Vote By Mail	37	32	107	21	103	31	111	70	88	107	47	41	94	19	94	32	52	115	96	107	38	446	274	0	0	1,298	1,442	0
Precinct 9512 - Election Day	19	23	38	11	41	14	37	39	40	47	22	26	35	14	35	12	27	41	38	42	10	101	156	0	0	949	611	0
Precinct 9512	56	55	145	32	144	45	148	109	128	154	69	67	129	33	129	44	79	156	134	149	48	547	430	0	0	2,247	2,053	0
Precinct 9513 - Vote By Mail	52	38	103	23	87	29	107	67	93	90	56	48	98	20	79	44	45	105	88	114	25	478	270	0	2	1,269	1,411	0
Precinct 9513 - Election Day	25	17	61	18	48	23	54	35	49	43	26	24	55	10	49	23	32	45	45	54	10	136	169	0	0	944	746	0
Precinct 9513	77	55	164	41	135	52	161	102	142	133	82	72	153	30	128	67	77	150	133	168	35	614	439	0	2	2,213	2,157	0
Precinct 9514/9522 - Vote By Mail	58	42	86	21	74	46	87	82	66	79	61	46	84	32	69	48	64	83	78	82	36	498	295	0	1	1,616	1,324	0
Precinct 9514/9522 - Election Day	24	18	57	17	55	24	51	34	48	53	22	26	55	18	49	24	33	47	52	64	23	125	178	0	0	986	794	0
Precinct 9514/9522	82	60	143	38	129	70	138	116	114	132	83	72	139	50	118	72	97	130	130	146	59	623	473	0	1	2,602	2,118	0
Precinct 9515 - Vote By Mail	36	37	68	20	66	32	67	55	69	70	44	38	81	23	63	32	44	77	58	78	18	355	224	0	0	1,164	1,076	0
Precinct 9515 - Election Day	15	18	36	8	37	9	38	31	37	28	21	12	35	10	35	20	22	30	27	39	7	105	137	0	0	855	515	0
Precinct 9515	51	55	104	28	103	41	105	86	106	98	65	50	116	33	98	52	66	107	85	117	25	460	361	0	0	2,019	1,591	0
Precinct 9516 - Vote By Mail	35	34	80	23	82	42	89	56	73	77	45	41	95	33	59	42	65	84	68	95	27	433	273	0	0	1,485	1,245	0
Precinct 9516 - Election Day	28	21	41	15	33	20	39	43	39	33	24	29	49	13	41	28	34	47	37	49	23	114	147	0	1	774	686	0
Precinct 9516	63	55	121	38	115	62	128	99	112	110	69	70	144	46	100	70	99	131	105	144	50	547	420	0	1	2,259	1,931	0
Precinct 9517 - Vote By Mail	39	37	94	16	84	41	99	61	88	86	47	46	103	25	87	42	45	92	81	102	24	405	252	0	1	1,171	1,339	0
Precinct 9517 - Election Day	19	22	47	10	55	13	50	37	51	49	20	17	60	11	47	17	22	46	48	62	13	105	151	0	0	794	716	0
Precinct 9517	58	59	141	26	139	54	149	98	139	135	67	63	163	36	134	59	67	138	129	164	37	510	403	0	1	1,965	2,055	0
Precinct 9518 - Vote By Mail	33	39	104	15	74	41	97	59	75	94	45	40	106	26	86	45	56	98	84	95	36	423	254	0	0	1,192	1,348	0
Precinct 9518 - Election Day	24	25	52	16	45	26	40	34	42	39	24	26	49	15	33	24	30	45	43	53	15	102	165	0	0	950	700	0
Precinct 9518	57	64	156	31	119	67	137	93	117	133	69	66	155	41	119	69	86	143	127	148	51	525	419	0	0	2,142	2,048	0
Precinct 9519 - Vote By Mail	39	30	100	18	102	36	107	78	92	106	49	49	117	32	90	40	54	95	90	103	21	488	304	0	0	1,592	1,448	0
Precinct 9519 - Election Day	19	18	53	7	52	22	56	36	53	53	22	21	58	13	48	14	27	49	48	53	7	124	180	0	0	1,071	729	0
Precinct 9519	58	48	153	25	154	58	163	114	145	159	71	70	175	45	138	54	81	144	138	156	28	612	484	0	0	2,663	2,177	0
Precinct 9521 - Vote By Mail	36	37	99	19	91	39	93	73	83	95	51	44	100	30	83	44	56	98	93	93	41	490	284	0	0	1,442	1,398	0
Precinct 9521 - Election Day	25	21	55	12	48	23	50	38	53	50	28	24	60	13	50	23	34	49	49	61	15	153	186	0	0	1,079	781	0
Precinct 9521	61	58	154	31	139	62	143	111	136	145	79	68	160	43	133	67	90	147	142	154	56	643	470	0	0	2,521	2,179	0
Precinct 9701 - Vote By Mail	39	34	62	13	66	50	64	49	60	66	44	38	75	33	62	37	53	65	50	66	30	317	201	0	0	954	1,056	0
Precinct 9701 - Election Day	14	13	28	11	32	19	34	37	30	25	21	21	35	14	27	15	30	38	29	33	17	99	123	0	0	707	523	0
Precinct 9701	53	47	90	24	98	69	98	86	90	91	65	59	110	47	89	52	83	103	79	99	47	416	324	0	0	1,661	1,579	0
Precinct 9702 - Vote By Mail	34	31	67	12	58	42	74	55	57	66	38	38	84	27	61	44	52	79	58	72	21	359	233	0	3	1,230	1,070	0
Precinct 9702 - Election Day	23	21	45	15	38	28	43	39	36	43	19	26	34	10	38	19	25	49	39	39	14	111	145	0	0	807	643	0
Precinct 9702	57	52	112	27	96	70	117	94	93	109	57	64	118	37	99	63	77	128	97	111	35	470	378	0	3	2,037	1,713	0
Precinct 9703 - Vote By Mail	36	49	54	30	66	52	56	77	60	73	55	51	103	36	61	67	69	74	56	57	38	455	260	0	0	1,380	1,220	0
Precinct 9703 - Election Day	23	18	34	9	38	23	33	37	31	38	19	15	48	8	33	27	26	42	27	41	11	106	133	0	1	739	581	0
Precinct 9703	59	67	88	39	104	75	89	114	91	111	74	66	151	44	94	94	95	116	83	98	49	561	393	0	1	2,119	1,801	0
Precinct 9704 - Vote By Mail	53	32	69	20	78	53	80	88	71	87	50	51	100	40	65	66	79	72	53	69	36	441	280	0	0	1,488	1,312	0
Precinct 9704 - Election Day	31	20	34	18	33	30	32	51	28	31	21	24	51	18	28	40	33	36	26	39	12	142	182	0	0	1,184	636	0
Precinct 9704	84	52	103	38	111	83	112	139	99	118	71	75	151	58	93	106	112	108	79	108	48	583	462	0	0	2,672	1,948	0
Precinct 9705 - Vote By Mail	56	50	79	25	94	63	83	96	77	87	65	59	107	49	87	74	84	100	84	98	35	531	338	0	0	1,828	1,552	0
Precinct 9705 - Election Day	12	13	46	8	43	11	41	34	38	42	17	19	50	5	41	19	31	40	38	39	10	117	163	0	0	1,033	597	0
Precinct 9705	68	63	125	33	137	74	124	130	115	129	82	78	157	54	128	93	115	140	122	137	45	648	501	0	0	2,861	2,149	0
Precinct 9706 MB - Vote By Mail	4	3	8	0	6	3	9	11	4	7	6	5	9	1	6	5	5	5	5	6	3	29	22	0	0	109	111	0
Precinct 9706 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0
Precinct 9706 MB	4	3	8	0	6	3	9	11	4	7	6	5	9	1	6	5	5	5	5	6	3	27	22	0	0	109	111	0
Precinct 9707 - Vote By Mail	47	33	60	19	49	35	67	83	68	63	52	54	87	30	57	66	71	76	60	66	32	403	236	0	1	1,175	1,175	0
Precinct 9707 - Election Day	10	7	24	6	23	6	18	27	17	23	10	10	36	8	21	20	18	20	18	20	3	71	104	0	0	695	345	0
Precinct 9707	57	40	84	25	72	41	85	110	85	86	62	64	123	38	78	86	89	96	78	86	35	474	340	0	1	1,870	1,520	0
Precinct 9708 - Vote By Mail	65	50	95	23	81	62	105	102	79	95	63	62	100	39	75	73	90	97	78	89	42	508	318	0	0	1,615	1,565	0
Precinct 9708 - Election Day	20	23	41	13	42	19	39	34	35	36	24	22	49	12	38	21	28	47	33	40	13	114	159	0	0	961	629	0
Precinct 9708	85	73	136	36	123	81	144	136	114	131	87	84	149	51	113	94	118	144	111	129	55	622	477	0	0	2,576	2,194	0
Precinct 9709 - Vote By Mail	49	30	61	30	59	55	64	100	60	69	62	63	104	28	52	92	95	81	44	52	29	437	265	0	0	1,371	1,279	0
Precinct 9709 - Election Day	25	21	25	10	33	28	29	44	38	37	24	23	47	16	32	28	34	39	35	38	9	110	148	0	0	865	615	0
Precinct 9709	74	51	86	40	92	83	93	144	98	106	86	86	151	44	84	120	129	120	79	90	38	547	413	0	0	2,236	1,894	0
Precinct 9711 - Vote By Mail	44	31	51	19	46	32	52	80	50	43	40	37	66	24	44	52	65	59	45	53	28	304	203	0	0	1,069	961	0
Precinct 9711 - Election Day	19	14	21	13	28	12	18	42	17	19	16	25	29	14	19	24	35	28	20	20	10	83	114	0	0	697	443	0
Precinct 9711	63	45	72	32	74	44	70	122	67	62	56	62	95	38	63	76	100	87	65	73	38	387	317	0	0	1,766	1,404	0
Precinct 9712 - Vote By Mail	31	26	45	31	47	31	61	86	38	52	33	42	70	20	39	59	68	60	37	41	25	321	234	0	0	1,398	942	0
Precinct 9712 - Election Day	24	7	25	25	20	12	15	35	14	18	14	9	15	10	16	18	16	24	13	21	5	77	101	0	0	654	356	0
Precinct 9712	55	33	70	56	67	43	76	121	52	70	47	51	85	30	55	77	84	84	50	62	30	398	335	0	0	2,052	1,298	0
Precinct 9713 - Vote By Mail	45	41	63	21	59	46	64	90	52	78	52	52	95	35	56	86	79	69	54	61	29	409	247	0	0	1,243	1,227	0
Precinct 9713 - Election Day	19	17	25	7	23	21	23	33	24	30	16	19	34	15	19	27	32	29	16	21	11	97	117	0	1	699	461	0
Precinct 9713	64	58	88	28	82	67	87	123	76	108	68	71	129	50	75	113	111	98	70	82	40	506	364	0	1	1,942	1,688	0
Precinct 9714 - Vote By Mail	61	41	58	31	52	64	71	122	50	58	70	65	76	41	48	84	96	69	42	44	43	436	278	0	0	1,494	1,286	0
Precinct 9714 - Election Day	26	15	31	12	17	19	35	56	21	25	26	29	30	11	23	38	40	29	17	26	15	89	119	0	0	649	541	0
Precinct 9714	87	56	89	43	69	83	106	178	71	83	96	94	106	52	71	122	136	98	59	70	58	525	397	0	0	2,143	1,827	0
Precinct 9715 - Vote By Mail	27	17	32	30	30	25	34	69	29	27	32	38	41	22	22	36	46	38	25	23	18	249	161	0	0	949	661	0
Precinct 9715 - Election Day	27	14	19	32	13	16	20	56	12	14	19	18	18	11	15	32	29	17	10	15	6	86	109	0	0	677	413	0
Precinct 9715	54	31	51	62	43	41	54	125	41	41	51	56	59	33	37	68	75	55	35	38	24	335	270	0	0	1,626	1,074	0
Precinct 9716 - Vote By Mail	49	30	65	28	55	55	59	94	52	66	46	42	95	41	55	73	62	62	45	58	29	421	256	0	2	1,379	1,161	0
Precinct 9716 - Election Day	17	11	28	13	23	10	26	54	27	26	18	21	35	12	28	28	24	40	20	31	10	125	144	0	0	938	502	0
Precinct 9716	66	41	93	41	78	65	85	148	79	92	64	63	130	53	83	101	86	102	65	89	39	546	400	0	2	2,317	1,663	0
Precinct 9717 - Vote By Mail	64	53	56	37	60	64	81	128	57	82	62	68	88	67	54	97	93	83	60	68	35	454	302	0	2	1,543	1,457	0
Precinct 9717 - Election Day	18	14	33	11	33	18	34	55	33	31	27	23	44	15	20	37	34	41	23	33	12	127	133	0	0	741	589	0
Precinct 9717	82	67	89	48	93	82	115	183	90	113	89	91	132	82	74	134	127	124	83	101	47	581	435	0	2	2,284	2,046	0
Precinct 9718 - Vote By Mail	65	57	73	33	71	57	86	133	67	74	52	72	101	37	71	90	80	88	55	72	34	424	296	0	0	1,492	1,468	0
Precinct 9718 - Election Day	22	20	25	14	23	21	25	54	20	22	26	26	35	19	24	38	32	24	20	19	16	81	114	0	0	615	525	0
Precinct 9718	87	77	98	47	94	78	111	187	87	96	78	98	136	56	95	128	112	112	75	91	50	505	410	0	0	2,107	1,993	0
Precinct 9719 - Vote By Mail	65	41	65	33	39	48	55	143	41	57	54	66	76	37	47	83	90	68	36	44	38	436	307	0	2	1,824	1,226	0
Precinct 9719 - Election Day	24	15	27	15	21	22	26	51	21	20	23	25	30	10	21	34	37	36	18	21	11	102	118	0	0	672	508	0
Precinct 9719	89	56	92	48	60	70	81	194	62	77	77	91	106	47	68	117	127	104	54	65	49	538	425	0	2	2,496	1,734	0
Precinct 9721 - Vote By Mail	42	27	46	23	46	37	49	86	42	53	42	50	62	35	46	57	61	66	41	49	24	291	201	0	0	1,026	984	0
Precinct 9721 - Election Day	27	15	17	10	18	15	24	59	14	19	26	29	32	10	16	37	34	25	17	20	19	98	125	0	1	757	483	0
Precinct 9721	69	42	63	33	64	52	73	145	56	72	68	79	94	45	62	94	95	91	58	69	43	389	326	0	1	1,783	1,467	0
Precinct 9722 - Vote By Mail	53	30	42	28	32	27	53	90	34	42	47	45	55	19	38	66	65	62	37	50	21	291	202	0	2	1,064	936	0
Precinct 9722 - Election Day	13	10	22	11	20	12	21	23	19	23	10	13	20	7	23	15	14	21	18	23	10	43	62	0	0	272	348	0
Precinct 9722	66	40	64	39	52	39	74	113	53	65	57	58	75	26	61	81	79	83	55	73	31	334	264	0	2	1,336	1,284	0
Precinct 9723 - Vote By Mail	34	24	17	11	24	38	25	39	29	33	28	30	38	30	15	49	46	27	16	20	20	214	121	0	2	597	593	0
Precinct 9723 - Election Day	7	3	5	4	6	5	7	16	5	5	3	5	11	3	5	7	8	7	4	6	3	25	39	0	0	265	125	0
Precinct 9723	41	27	22	15	30	43	32	55	34	38	31	35	49	33	20	56	54	34	20	26	23	239	160	0	2	862	718	0
Precinct 9724 - Vote By Mail	43	25	38	22	43	49	61	94	38	60	43	45	81	36	43	91	77	66	29	50	35	411	232	0	1	1,241	1,069	0
Precinct 9724 - Election Day	12	12	12	6	18	13	15	25	10	16	15	14	27	9	8	21	19	14	10	13	7	60	88	0	0	584	296	0
Precinct 9724	55	37	50	28	61	62	76	119	48	76	58	59	108	45	51	112	96	80	39	63	42	471	320	0	1	1,825	1,365	0
Precinct 9725 - Vote By Mail	55	35	45	25	40	61	49	97	41	60	37	55	74	42	33	90	84	56	32	46	26	407	240	0	1	1,307	1,083	0
Precinct 9725 - Election Day	35	22	25	19	24	24	25	35	18	20	23	18	28	11	22	34	27	35	17	25	8	72	108	0	0	585	495	0
Precinct 9725	90	57	70	44	64	85	74	132	59	80	60	73	102	53	55	124	111	91	49	71	34	479	348	0	1	1,892	1,578	0
Precinct 9726 - Vote By Mail	43	28	60	26	66	30	55	47	75	53	34	31	61	15	44	31	28	50	56	81	20	419	166	0	0	726	934	0
Precinct 9726 - Election Day	37	16	50	26	65	22	45	36	72	47	33	26	43	11	59	28	17	64	49	79	17	-58	210	0	0	1,258	842	0
Precinct 9726	80	44	110	52	131	52	100	83	147	100	67	57	104	26	103	59	45	114	105	160	37	361	376	0	0	1,984	1,776	0
Precinct 9727 - Vote By Mail	24	14	32	22	32	18	42	51	32	35	36	30	54	15	19	43	42	33	26	35	18	211	129	0	0	637	653	0
Precinct 9727 - Election Day	8	4	10	1	6	5	7	18	7	11	4	11	10	5	8	14	10	11	9	9	3	33	49	0	0	319	171	0
Precinct 9727	32	18	42	23	38	23	49	69	39	46	40	41	64	20	27	57	52	44	35	44	21	244	178	0	0	956	824	0
Precinct 9728 - Vote By Mail	68	47	51	28	51	57	65	122	48	64	68	63	70	53	42	97	95	71	39	55	42	409	276	0	1	1,454	1,296	0
Precinct 9728 - Election Day	33	19	23	14	20	21	21	61	20	21	32	32	28	20	13	37	52	30	18	19	10	103	127	0	0	726	544	0
Precinct 9728	101	66	74	42	71	78	86	183	68	85	100	95	98	73	55	134	147	101	57	74	52	512	403	0	1	2,180	1,840	0
Precinct 9729 - Vote By Mail	41	28	33	20	18	44	38	98	23	31	36	49	45	37	22	68	62	39	20	25	27	315	196	0	0	1,156	804	0
Precinct 9729 - Election Day	30	27	17	17	13	19	18	57	16	18	20	31	23	22	18	30	36	29	10	19	13	86	119	0	0	707	483	0
Precinct 9729	71	55	50	37	31	63	56	155	39	49	56	80	68	59	40	98	98	68	30	44	40	401	315	0	0	1,863	1,287	0
Precinct 9731 - Vote By Mail	29	18	36	12	27	21	43	66	29	42	30	31	55	28	28	45	44	40	30	40	14	238	159	0	0	882	708	0
Precinct 9731 - Election Day	14	10	10	10	12	8	13	34	8	14	10	11	15	9	10	24	25	14	6	9	6	79	97	0	0	698	272	0
Precinct 9731	43	28	46	22	39	29	56	100	37	56	40	42	70	37	38	69	69	54	36	49	20	317	256	0	0	1,580	980	0
Precinct 9732 MB - Vote By Mail	10	6	7	7	5	6	4	15	6	1	9	7	5	2	7	14	4	6	5	8	6	44	32	0	0	180	140	0
Precinct 9732 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	30	0	0
Precinct 9732 MB	10	6	7	7	5	6	4	15	6	1	9	7	5	2	7	14	4	6	5	8	6	44	35	0	0	210	140	0
Precinct 9733 MB - Vote By Mail	25	19	38	6	40	14	35	41	33	33	22	23	42	10	30	30	34	42	27	40	17	178	127	0	0	669	601	0
Precinct 9733 MB - Election Day	2	1	3	0	2	1	1	3	3	1	1	2	1	1	0	0	2	1	1	2	2	-14	9	0	0	60	30	0
Precinct 9733 MB	27	20	41	6	42	15	36	44	36	34	23	25	43	11	30	30	36	43	28	42	19	164	136	0	0	729	631	0
Precinct 9734 - Vote By Mail	44	35	51	23	38	34	61	98	35	40	42	49	59	43	38	64	67	57	32	33	34	265	195	0	0	973	977	0
Precinct 9734 - Election Day	17	19	16	8	12	15	18	38	8	13	20	26	12	15	10	25	22	22	5	11	13	69	87	0	1	515	345	0
Precinct 9734	61	54	67	31	50	49	79	136	43	53	62	75	71	58	48	89	89	79	37	44	47	334	282	0	1	1,488	1,322	0
Precinct 9735 - Vote By Mail	48	32	60	19	54	52	67	117	52	64	61	61	79	37	48	89	85	84	43	54	40	375	266	0	0	1,414	1,246	0
Precinct 9735 - Election Day	17	4	16	12	9	11	17	36	12	11	14	23	31	13	14	29	31	19	8	20	7	95	128	0	0	926	354	0
Precinct 9735	65	36	76	31	63	63	84	153	64	75	75	84	110	50	62	118	116	103	51	74	47	470	394	0	0	2,340	1,600	0
Precinct 9736 - Vote By Mail	53	43	57	26	48	50	52	104	46	49	54	58	68	61	38	74	74	51	36	53	44	361	247	0	0	1,331	1,139	0
Precinct 9736 - Election Day	19	17	27	4	21	16	23	43	20	26	17	22	28	35	14	27	30	21	17	21	9	90	127	0	0	813	457	0
Precinct 9736	72	60	84	30	69	66	75	147	66	75	71	80	96	96	52	101	104	72	53	74	53	451	374	0	0	2,144	1,596	0
Precinct 9737 - Vote By Mail	40	35	75	18	58	44	82	121	66	79	61	63	95	29	60	84	87	93	56	68	35	414	290	0	1	1,541	1,349	0
Precinct 9737 - Election Day	19	10	35	7	26	12	38	34	28	35	22	24	41	7	27	17	29	35	27	31	9	105	118	0	0	667	513	0
Precinct 9737	59	45	110	25	84	56	120	155	94	114	83	87	136	36	87	101	116	128	83	99	44	519	408	0	1	2,208	1,862	0
Precinct 9738 - Vote By Mail	48	34	81	37	63	33	72	65	78	48	49	54	74	18	54	51	45	81	64	91	15	377	215	0	1	985	1,155	0
Precinct 9738 - Election Day	17	16	18	13	16	15	20	21	25	20	15	17	19	5	20	18	12	27	18	30	6	80	96	0	0	592	368	0
Precinct 9738	65	50	99	50	79	48	92	86	103	68	64	71	93	23	74	69	57	108	82	121	21	457	311	0	1	1,577	1,523	0
Precinct 9739 - Vote By Mail	32	26	72	33	82	29	78	37	85	71	23	36	82	15	76	34	38	89	71	94	19	448	206	0	0	938	1,122	0
Precinct 9739 - Election Day	34	28	58	27	51	23	42	33	67	48	20	39	54	6	65	21	18	55	49	75	10	22	201	0	1	1,177	823	0
Precinct 9739	66	54	130	60	133	52	120	70	152	119	43	75	136	21	141	55	56	144	120	169	29	470	407	0	1	2,115	1,945	0
Precinct 9741 - Vote By Mail	32	15	51	24	56	24	46	24	65	52	24	29	45	10	51	11	14	42	51	76	12	672	152	0	0	766	754	0
Precinct 9741 - Election Day	74	38	92	63	83	41	55	48	113	93	43	69	81	19	94	35	19	87	92	149	21	-420	383	0	0	2,421	1,409	0
Precinct 9741	106	53	143	87	139	65	101	72	178	145	67	98	126	29	145	46	33	129	143	225	33	252	535	0	0	3,187	2,163	0
Precinct 9742 - Vote By Mail	17	16	19	12	21	23	18	26	19	25	17	13	33	17	16	29	30	18	18	19	6	253	118	0	1	758	412	0
Precinct 9742 - Election Day	21	12	17	6	18	16	20	34	24	17	17	19	25	8	17	33	23	26	14	17	9	72	104	0	0	647	393	0
Precinct 9742	38	28	36	18	39	39	38	60	43	42	34	32	58	25	33	62	53	44	32	36	15	325	222	0	1	1,405	805	0
Precinct 9743 - Vote By Mail	48	34	105	29	96	45	103	88	103	107	61	69	124	28	97	81	75	107	90	112	27	571	294	0	1	1,301	1,629	0
Precinct 9743 - Election Day	36	22	60	26	59	20	52	38	62	55	19	37	59	9	54	27	26	68	53	72	13	114	201	0	0	1,143	867	0
Precinct 9743	84	56	165	55	155	65	155	126	165	162	80	106	183	37	151	108	101	175	143	184	40	685	495	0	1	2,444	2,496	0
Precinct 9744 - Vote By Mail	48	30	82	32	89	29	84	76	89	89	42	60	92	13	68	39	41	90	74	94	21	499	249	0	0	1,208	1,282	0
Precinct 9744 - Election Day	30	33	56	19	50	25	43	48	59	50	34	38	49	14	62	31	22	58	50	75	13	53	221	0	0	1,351	859	0
Precinct 9744	78	63	138	51	139	54	127	124	148	139	76	98	141	27	130	70	63	148	124	169	34	552	470	0	0	2,559	2,141	0
Precinct 9745 - Vote By Mail	60	29	75	27	76	31	74	54	89	78	44	60	78	20	78	51	42	97	68	101	16	483	233	0	0	1,082	1,248	0
Precinct 9745 - Election Day	29	21	46	18	43	22	34	37	56	47	24	29	58	10	49	34	19	55	49	66	13	71	181	0	2	1,031	759	0
Precinct 9745	89	50	121	45	119	53	108	91	145	125	68	89	136	30	127	85	61	152	117	167	29	554	414	0	2	2,113	2,007	0
Precinct 9746 - Vote By Mail	44	33	58	33	50	45	66	92	54	62	46	56	74	29	53	57	62	81	41	57	18	380	239	0	2	1,259	1,111	0
Precinct 9746 - Election Day	18	12	17	14	16	15	26	44	13	17	14	25	30	10	20	25	28	22	20	21	11	95	95	0	0	532	418	0
Precinct 9746	62	45	75	47	66	60	92	136	67	79	60	81	104	39	73	82	90	103	61	78	29	475	334	0	2	1,791	1,529	0
Precinct 9747 - Vote By Mail	47	35	85	24	80	45	93	82	81	81	49	48	94	35	68	64	71	90	70	90	26	441	271	0	0	1,352	1,358	0
Precinct 9747 - Election Day	24	25	42	19	35	19	44	54	32	36	17	33	44	14	35	26	34	36	33	37	11	106	136	0	0	710	650	0
Precinct 9747	71	60	127	43	115	64	137	136	113	117	66	81	138	49	103	90	105	126	103	127	37	547	407	0	0	2,062	2,008	0
Precinct 9748 - Vote By Mail	68	44	65	44	70	53	85	103	66	77	64	70	82	51	55	64	85	83	65	80	37	407	284	0	0	1,429	1,411	0
Precinct 9748 - Election Day	28	17	16	11	17	16	21	42	17	14	19	35	34	19	18	34	29	33	14	26	11	96	109	0	0	619	471	0
Precinct 9748	96	61	81	55	87	69	106	145	83	91	83	105	116	70	73	98	114	116	79	106	48	503	393	0	0	2,048	1,882	0
Precinct 9749 - Vote By Mail	36	22	71	19	65	40	51	53	73	71	45	48	77	26	58	48	45	66	53	83	15	399	196	0	0	895	1,065	0
Precinct 9749 - Election Day	18	7	32	13	35	11	35	16	34	38	12	18	39	9	35	19	23	36	30	42	4	81	115	0	0	644	506	0
Precinct 9749	54	29	103	32	100	51	86	69	107	109	57	66	116	35	93	67	68	102	83	125	19	480	311	0	0	1,539	1,571	0
Precinct 9751 - Vote By Mail	62	45	79	40	73	53	99	127	73	81	79	86	110	47	64	101	111	113	59	79	42	507	329	0	3	1,637	1,623	0
Precinct 9751 - Election Day	27	13	35	16	33	21	27	54	30	30	28	25	36	22	24	34	30	43	23	30	12	123	154	0	0	947	593	0
Precinct 9751	89	58	114	56	106	74	126	181	103	111	107	111	146	69	88	135	141	156	82	109	54	630	483	0	3	2,584	2,216	0
Precinct 9752 - Vote By Mail	59	36	60	19	46	47	68	87	43	57	53	60	65	55	47	61	69	68	43	59	39	335	224	0	1	1,089	1,141	0
Precinct 9752 - Election Day	22	16	22	9	16	15	20	35	13	21	23	19	29	25	21	23	24	25	13	19	12	76	103	0	0	608	422	0
Precinct 9752	81	52	82	28	62	62	88	122	56	78	76	79	94	80	68	84	93	93	56	78	51	411	327	0	1	1,697	1,563	0
Precinct 9753 - Vote By Mail	33	23	54	16	54	27	54	66	51	58	41	51	80	21	52	47	50	64	49	53	25	353	204	0	0	1,071	969	0
Precinct 9753 - Election Day	22	16	37	15	36	11	46	37	36	29	20	24	40	13	32	27	31	49	33	45	10	92	128	0	0	671	609	0
Precinct 9753	55	39	91	31	90	38	100	103	87	87	61	75	120	34	84	74	81	113	82	98	35	445	332	0	0	1,742	1,578	0
Precinct 9754 - Vote By Mail	58	40	72	34	75	43	83	87	78	84	46	55	85	34	77	49	71	91	73	99	24	363	242	0	1	1,052	1,358	0
Precinct 9754 - Election Day	20	6	31	14	33	10	31	26	28	22	15	14	29	10	28	21	16	36	28	28	4	99	104	0	0	590	450	0
Precinct 9754	78	46	103	48	108	53	114	113	106	106	61	69	114	44	105	70	87	127	101	127	28	462	346	0	1	1,642	1,808	0
Precinct 9755 - Vote By Mail	40	25	58	17	40	26	61	62	47	57	27	45	62	15	59	42	50	57	43	60	22	282	181	0	1	885	915	0
Precinct 9755 - Election Day	13	7	20	11	23	7	19	23	25	21	15	15	22	3	22	20	11	26	21	24	5	80	94	0	0	587	353	0
Precinct 9755	53	32	78	28	63	33	80	85	72	78	42	60	84	18	81	62	61	83	64	84	27	362	275	0	1	1,472	1,268	0
Precinct 9756 - Vote By Mail	33	34	72	21	69	45	76	63	66	82	58	63	101	25	67	59	72	80	58	79	28	443	233	0	0	1,079	1,251	0
Precinct 9756 - Election Day	19	20	24	7	20	19	19	22	28	23	16	21	32	6	17	20	21	22	14	30	10	80	105	0	1	630	410	0
Precinct 9756	52	54	96	28	89	64	95	85	94	105	74	84	133	31	84	79	93	102	72	109	38	523	338	0	1	1,709	1,661	0
Precinct 9801 - Vote By Mail	27	14	36	26	45	19	45	45	49	34	36	39	47	14	50	25	33	43	39	46	16	199	125	0	1	512	728	0
Precinct 9801 - Election Day	9	5	15	6	10	5	17	11	12	16	6	8	16	5	14	9	7	17	14	17	2	53	42	0	0	199	221	0
Precinct 9801	36	19	51	32	55	24	62	56	61	50	42	47	63	19	64	34	40	60	53	63	18	252	167	0	1	711	949	0
Congressional District 12 - Vote By Mail	7,195	5,188	11,356	3,485	10,479	6,726	11,831	11,917	10,210	11,745	7,472	7,439	14,462	4,587	9,706	8,922	10,037	12,395	9,598	11,671	4,446	217,399	41,010	0	97	218,263	190,867	0
Congressional District 12 - Election Day	3,744	2,489	5,809	2,015	5,400	2,864	5,454	5,818	5,175	5,369	3,221	3,321	6,949	1,773	4,980	3,723	4,407	6,230	4,844	5,982	1,714	55,269	24,139	0	23	149,879	91,281	0
Congressional District 12	10,939	7,677	17,165	5,500	15,879	9,590	17,285	17,735	15,385	17,114	10,693	10,760	21,411	6,360	14,686	12,645	14,444	18,625	14,442	17,653	6,160	272,668	65,149	0	120	368,142	282,148	0
